year,population_size,births,deaths,arrivals,departures
1980,14695356,225527,108695,170297,93359
1981,14923260,235842,109003,204780,86113
1982,15184247,239903,114771,210651,87693
1983,15393472,242570,110084,172739,97288
1984,15579391,234034,109914,145282,98744
1985,15788312,247348,118808,163255,95247
1986,16018350,243408,114981,186395,92463
1987,16263874,243959,117321,204462,95321
1988,16532164,246193,119866,242248,99024
1989,16814416,250853,124232,249879,112638
1990,17065128,262648,120062,231922,128056
1991,17284036,257247,119146,236399,141642
1992,17478635,264151,123660,234172,144284
1993,17634808,260229,121599,203766,141095
1994,17805468,258051,126692,207368,139987
1995,18004882,256190,125133,238523,145481
1996,18224767,253834,128719,262717,153056
1997,18423037,251842,129350,261001,166605
1998,18607584,249616,127202,265441,186279
1999,18812264,248870,128102,271945,175462
2000,19028802,249636,128291,305121,197846
2001,19274701,246394,128544,348570,212897
2002,19495210,250988,133707,353371,219687
2003,19720737,251161,132292,373793,219568
2004,19932722,254246,132508,401317,236696
2005,20176844,264493,130714,463090,260742
2006,20450966,270849,133739,494993,269905
2007,20827622,292152,137854,561590,285023
2008,21249199,302272,143946,650815,315018
2009,21691653,301253,140760,746381,338385
2010,22031750,303318,143473,704476,373827
